SeriesName,Location,DaysTaught,ClassesPerWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,DayOfWeek,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,9,2025-10-17,Friday,السادس والتسعون,كتاب النكاح (٥),AUD-20251012-WA0033.m4a,Series,Not Available,Not Available,16:15,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,10,2025-10-17,Friday,السابع والتسعون,كتاب النكاح (٦),AUD-20251015-WA0055.m4a,Series,Not Available,Not Available,22:15,Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,11,2025-10-22,Wednesday,الرابع,Not Available,Mp3 Editor_251022060402.mp3,Series,Not Available,٢٦ / ٤ / ١٤٤٧,53:01,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,12,2025-10-22,Wednesday,الخامس,Not Available,Mp3 Editor_251022060954.mp3,Series,Not Available,٢٧ / ٤ / ١٤٤٧,57:12,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,13,2025-10-23,Thursday,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,29 رجب 1437 ه,Not Available,Serial number not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,14,2025-10-23,Thursday,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,15,2025-10-23,Thursday,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,16,2025-10-23,Thursday,Not Available,كتاب الصيام :( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,17,2025-10-23,Thursday,Not Available,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,"Friday, Monday, Saturday, Sunday, Thursday, Tuesday, Wednesday",7,Hadeeth,أحمد بن يحيى النجمي,18,2025-10-23,Thursday,Not Available,كتاب الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),Not Available,Series,Not Available,Not Available,Not Available,Serial number not found; Arabic date not found
