SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
79,Unknown,جامع الورود,Monday,2025-12-08,AUD-20251208-WA0005.m4a,Unknown,Not Available,Not Available,السادس  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,56:16,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
80,Unknown,جامع الورود,Monday,2025-12-08,Mp3 Editor_251208214714.mp3,Unknown,Not Available,Not Available,التاسع  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,08.12.2025,43:47,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
81,Unknown,جامع الورود,Tuesday,2025-12-09,Mp3 Editor_251208225109.mp3,Unknown,Not Available,Not Available,الواحد والعشرون,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,12:00,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
82,Unknown,جامع الورود,Tuesday,2025-12-09,Mp3 Editor_251208230041.mp3,Unknown,Not Available,Not Available,الثاني والعشرون,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,22:07,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
83,Unknown,جامع الورود,Tuesday,2025-12-09,AUD-20251209-WA0004.m4a,Unknown,Not Available,Not Available,الثاني عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,04:48,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
84,Unknown,جامع الورود,Tuesday,2025-12-09,AUD-20251111-WA0001.m4a,Unknown,Not Available,Not Available,الثالث  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,41:24,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
85,Unknown,جامع الورود,Tuesday,2025-12-09,AUD-20251209-WA0005.m4a,Unknown,Not Available,Not Available,العاشر  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,09.12.2025,46:25,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
86,Unknown,جامع الورود,Thursday,2025-12-11,AUD-20251211-WA0003.m4a,Unknown,Not Available,Not Available,السابع عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,11.12.2025,12:52,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
87,Unknown,جامع الورود,Thursday,2025-12-11,AUD-20251211-WA0007.m4a,Unknown,Not Available,Not Available,التاسع عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,11.12.2025,13:20,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
88,Unknown,جامع الورود,Saturday,2025-12-13,AUD-20251213-WA0011.m4a,Unknown,Not Available,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,١٦ / ٥ / ١٤٤٧,13.12.2025,10:39,Other,Not Matched,"Could not match to schedule (Day: Saturday, Location: جامع الورود)"
